Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"Cuando estoy todo el día en la facultad por tantas clases que debo de darl, en la noche al llegar al gym y que mi cuerpo ya pide acostarse un rato, si no duermo bien me siento muy agotado.","Cuando estoy todo el día en la facultad por tantas clases que debo de darl, en la noche al llegar al gym y que mi cuerpo ya pide acostarse un rato, si no duermo bien me siento muy agotado.",55
4/23/2024 19:48:07,MKZUPRJI,Mm cuando hago demasiadas actividades ,Mm cuando hago demasiadas actividades,9
4/23/2024 19:48:07,UJCL56SG,"Cuando me preguntan sobre cosas de la escuela, que pienso del futuro o simplemente por imsonio","Cuando me preguntan sobre cosas de la escuela, que pienso del futuro o simplemente por imsonio",22
4/23/2024 19:48:07,B2KUCT4P,Cuando me saturo de tareas,Cuando me saturo de tareas,6
4/23/2024 19:48:07,GXLRPJ5F,A veces cuando salgo de mis prácticas y hace mucho calor. ,A veces cuando salgo de mis prácticas y hace mucho calor.,13
4/23/2024 19:48:07,U1856WJ8,"En ambas, ya llevo más de un mes sintiendome bastante agotado","En ambas, ya llevo más de un mes sintiendome bastante agotado",17
4/23/2024 19:48:07,ADDP44O9,"Después de estar varias horas frente a la computadora, cuando estoy todo el día fuera de casa ","Después de estar varias horas frente a la computadora, cuando estoy todo el día fuera de casa",20
4/23/2024 19:48:07,EL85BQ8X,Cuando llego a mi casa,Cuando llego a mi casa,6
4/23/2024 19:48:07,9LGMBDLF,Al llegar a casa,Al llegar a casa,4
4/23/2024 19:48:07,TUW6M31C,Al llegar a casa después de la universidad ,Al llegar a casa después de la universidad,8
4/23/2024 19:48:07,XH7ERTSE,Al terminar el dia.,Al terminar el dia.,5
4/23/2024 19:48:07,HNAK6DR5,Casi es esta última semana por temas de trabajos finales ,Casi es esta última semana por temas de trabajos finales,11
4/23/2024 19:48:07,IAADDB7O,"Casi siempre, regularmente después de convivir con personas en general, también al momento de terminar con algunos pendientes ","Casi siempre, regularmente después de convivir con personas en general, también al momento de terminar con algunos pendientes",26
4/23/2024 19:48:07,7FKG0LV6,"Todos los días ,después de la escuela ","Todos los días ,después de la escuela",8
4/23/2024 19:48:07,HJB227EF,despues de la universidad ,despues de la universidad,6
4/23/2024 19:48:07,GBDDJNH0,Al final de cada día de clases termino muy cansada y con mucho sueño.,Al final de cada día de clases termino muy cansada y con mucho sueño.,17
4/23/2024 19:48:07,9ZRTSOTK,Siempre que viajo todos los días.,Siempre que viajo todos los días.,9
4/23/2024 19:48:07,0FQMQ0V1,"Despues de dias donde el trabajo fue pesado y tengo que hacer tarea, con pocos momentos para descansar","Despues de dias donde el trabajo fue pesado y tengo que hacer tarea, con pocos momentos para descansar",25
4/23/2024 19:48:07,60S1CVNZ,Al terminar el dia con la universidad ,Al terminar el dia con la universidad,7
4/23/2024 19:48:07,GKU8ECFL,Cuando me saturo de tareas y no tengo dinero ,Cuando me saturo de tareas y no tengo dinero,11
4/23/2024 19:48:07,WED8UH5D,Después de la escuela ,Después de la escuela,4
4/23/2024 19:48:07,FM5YVNM2,El exceso de tareas y proyectos me agota demasiado ,El exceso de tareas y proyectos me agota demasiado,11
4/23/2024 19:48:07,TOKIQV38,"Cuando estoy en exámenes, evaluaciones, o cuando se me juntan las tareas de la escuela junto con problemas y discusiones que pueden haber en casa. ","Cuando estoy en exámenes, evaluaciones, o cuando se me juntan las tareas de la escuela junto con problemas y discusiones que pueden haber en casa.",35
4/23/2024 19:48:16,QHVZR83J,"La mayoria de los dias.
Si las dos semanas son 14 días, me he sentido cansada 10 dias.","La mayoria de los dias. Si las dos semanas son 14 días, me he sentido cansada 10 dias.",23
4/23/2024 19:52:34,QXIEYINQ,Por lo general después de un día de escuela.,Por lo general después de un día de escuela.,10
4/23/2024 20:03:37,KLWAYA6Z,Cuando llego de la escuela a mi casa y en el camino a casa,Cuando llego de la escuela a mi casa y en el camino a casa,15
4/23/2024 20:13:28,U57VENCU,Cuando hago trabajos o proyectos de la universidad ,Cuando hago trabajos o proyectos de la universidad,9
4/23/2024 20:13:37,A2IERC7W,No me he sentido cansado ,No me he sentido cansado,6
4/23/2024 20:18:00,9N5PTUUF,"Cuando tengo muchas tareas, trabajos que hacer, y pararse temprano ","Cuando tengo muchas tareas, trabajos que hacer, y pararse temprano",15
4/23/2024 20:28:40,SXA26XSC,Al llegar a casa después de un día estresante en clases ,Al llegar a casa después de un día estresante en clases,13
4/23/2024 20:30:08,XEDRH93Z,"Algunos días experimento una carga considerable de materias y tareas, especialmente cuando tengo múltiples responsabilidades académicas y personales. Además, después de ir al gimnasio, suelo sentirme cansado.","Algunos días experimento una carga considerable de materias y tareas, especialmente cuando tengo múltiples responsabilidades académicas y personales. Además, después de ir al gimnasio, suelo sentirme cansado.",43
4/23/2024 20:43:09,S8Y84CH8,Después de llegar de la universidad y mientras hago tareas en la madrugada. ,Después de llegar de la universidad y mientras hago tareas en la madrugada.,17
4/23/2024 20:44:26,HG74CPSK,Cuando no paran de dejarme actividades ,Cuando no paran de dejarme actividades,8
4/23/2024 21:02:39,L2RH302J,"Ultimamente si es verdad que hay momentos cuando que me gusta tomar siestas, pero no es como todo el dia me sienta extremadamente cansado.","Ultimamente si es verdad que hay momentos cuando que me gusta tomar siestas, pero no es como todo el dia me sienta extremadamente cansado.",32
4/23/2024 21:05:33,FN2PCHS1,Al hacer algunas tareas largas,Al hacer algunas tareas largas,6
4/23/2024 21:10:29,GUS8V807,Después de un dia de escuela y tareas.,Después de un dia de escuela y tareas.,9
4/23/2024 21:26:04,3GGBO8RK,Después de que me desvelé hay momentos que al día siguiente me siento cansado sobretodo cuando me siento aburrido.,Después de que me desvelé hay momentos que al día siguiente me siento cansado sobretodo cuando me siento aburrido.,28
4/23/2024 21:27:00,3DA9WB82,En la universidad con muchas tareas,En la universidad con muchas tareas,6
4/23/2024 21:37:25,4SUVP1WR,"creo que siempre, a pesar de que no siempre tengo razón para estarlo","creo que siempre, a pesar de que no siempre tengo razón para estarlo",17
4/23/2024 22:47:07,JOAT36RK,Cuando me despierto,Cuando me despierto,5
4/23/2024 22:57:11,53EHQAPE,Al desvelarme tratando de finalizar toso los proyectos de mi carga académica ,Al desvelarme tratando de finalizar toso los proyectos de mi carga académica,18
