Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"1. Analizar bien cuál es el contexto de la elección.
2. Pensar cuáles serían las posibles consecuencias de esa elección.
3. Analizar quiénes serían los beneficiados o afectados.
4. Cuál es el mejor escenario al que me lleva esa decisión.
5. Estar 100% seguro de lo que decidiré.
6. Tomar la decisión.",1. Analizar bien cuál es el contexto de la elección. 2. Pensar cuáles serían las posibles consecuencias de esa elección. 3. Analizar quiénes serían los beneficiados o afectados. 4. Cuál es el mejor escenario al que me lleva esa decisión. 5. Estar 100% seguro de lo que decidiré. 6. Tomar la decisión.,82
4/23/2024 19:48:07,MKZUPRJI, Pensar en consecuencias más y buenas ,Pensar en consecuencias más y buenas,8
4/23/2024 19:48:07,UJCL56SG,"Imaginar escenarios posibles y ver cual puede ser el mejor, preguntar opiniones, imaginarme desde fuera y al final elegir...
Si es una decisión a tomar rápido como ir manejando por ejemplo, la tomo en base a mi intuición ","Imaginar escenarios posibles y ver cual puede ser el mejor, preguntar opiniones, imaginarme desde fuera y al final elegir... Si es una decisión a tomar rápido como ir manejando por ejemplo, la tomo en base a mi intuición",56
4/23/2024 19:48:07,B2KUCT4P,"Cual me conviene, cual tiene mas razón y lógica","Cual me conviene, cual tiene mas razón y lógica",12
4/23/2024 19:48:07,GXLRPJ5F,"Pensar si es buena elección a futuro
Consultarlo con mi familia 
De acuerdo a eso, ver si me conviene o no
","Pensar si es buena elección a futuro Consultarlo con mi familia De acuerdo a eso, ver si me conviene o no",25
4/23/2024 19:48:07,U1856WJ8,El como me voy a sentir despues re tomar una decisión,El como me voy a sentir despues re tomar una decisión,14
4/23/2024 19:48:07,ADDP44O9,"Ver mis opciones, valorar los pros y contras de cada una, tomar en cuenta lo que quiero o necesito, hacer la elección ","Ver mis opciones, valorar los pros y contras de cada una, tomar en cuenta lo que quiero o necesito, hacer la elección",32
4/23/2024 19:48:07,EL85BQ8X,Tener en cuenta ta todos los posibles resultados ,Tener en cuenta ta todos los posibles resultados,9
4/23/2024 19:48:07,9LGMBDLF,"Pensar en las ventajas y desventajas que conlleva. Imaginar un escenario con el peor de los casos donde tome la desición, evaluarlo y tomar la decisión ","Pensar en las ventajas y desventajas que conlleva. Imaginar un escenario con el peor de los casos donde tome la desición, evaluarlo y tomar la decisión",40
4/23/2024 19:48:07,TUW6M31C,Generalmente trato de analizar las posibles consecuencias de cada decisión para poder elegir la mejor ,Generalmente trato de analizar las posibles consecuencias de cada decisión para poder elegir la mejor,19
4/23/2024 19:48:07,XH7ERTSE,"1. ver todas las posibles opciones.
2. seleccionar las de mayor peso.
3. mirar cuales afectan de manera menos negativa a terceros y excluir todas las que involucren terceros.
4. Seleccionar la que tenga respuesta inmediata.",1. ver todas las posibles opciones. 2. seleccionar las de mayor peso. 3. mirar cuales afectan de manera menos negativa a terceros y excluir todas las que involucren terceros. 4. Seleccionar la que tenga respuesta inmediata.,59
4/23/2024 19:48:07,HNAK6DR5,"Pienso, analizó y actuó ","Pienso, analizó y actuó",8
4/23/2024 19:48:07,IAADDB7O,"Identificar mis opciones, averiguar que sucedería en cualquier opción tomada, no solo en lo positivo, también en lo negativo y consecuencias que pueda traer, verificar que es lo que quiero hacer, si concuerda con lo que menos cosas negativas me trae tomar esa opción, si no, lanzar una ronda de volados para verificar la respuesta, después de la ronda, debatir internamente si de verdad quiero hacer eso y finalmente tomar la desición ","Identificar mis opciones, averiguar que sucedería en cualquier opción tomada, no solo en lo positivo, también en lo negativo y consecuencias que pueda traer, verificar que es lo que quiero hacer, si concuerda con lo que menos cosas negativas me trae tomar esa opción, si no, lanzar una ronda de volados para verificar la respuesta, después de la ronda, debatir internamente si de verdad quiero hacer eso y finalmente tomar la desición",103
4/23/2024 19:48:07,7FKG0LV6,"Primero me lo planteo dependiendo los beneficios y los contras ,después esos beneficios los veo a largo y corto plazo al igual que los contras ,después lo que vea que es mejor para mi y para mi entorno ,en un plazo mediando ,es decir ,ni tan lejano ni tan cercano.","Primero me lo planteo dependiendo los beneficios y los contras ,después esos beneficios los veo a largo y corto plazo al igual que los contras ,después lo que vea que es mejor para mi y para mi entorno ,en un plazo mediando ,es decir ,ni tan lejano ni tan cercano.",64
4/23/2024 19:48:07,HJB227EF,"pensar en las posibles consecuencias, pensar si me servirá o no tomar esa decisión, ","pensar en las posibles consecuencias, pensar si me servirá o no tomar esa decisión,",18
4/23/2024 19:48:07,GBDDJNH0,"Primero pensar si realmente vale la pena o no, segundo pensar las consecuencias, tercero tomar la decisión.","Primero pensar si realmente vale la pena o no, segundo pensar las consecuencias, tercero tomar la decisión.",22
4/23/2024 19:48:07,9ZRTSOTK,"Analizar los pros y contras, además de ser totalmente objetivo en cuestión de sentimientos.","Analizar los pros y contras, además de ser totalmente objetivo en cuestión de sentimientos.",21
4/23/2024 19:48:07,0FQMQ0V1,Primero ver si economicamente me conviene despues pongo los positivo y negativo de la decision,Primero ver si economicamente me conviene despues pongo los positivo y negativo de la decision,21
4/23/2024 19:48:07,60S1CVNZ,"Analizar el problema, tomar ventajas y desventajas y analizarlas para llegar a buena decision","Analizar el problema, tomar ventajas y desventajas y analizarlas para llegar a buena decision",22
4/23/2024 19:48:07,GKU8ECFL,"1. Platicar con alguen cercano o con experiencia para que me oriente 
2.Reflecionar mi desicion 
3.Dar mi eleccion ",1. Platicar con alguen cercano o con experiencia para que me oriente 2.Reflecionar mi desicion 3.Dar mi eleccion,31
4/23/2024 19:48:07,WED8UH5D,Respirar y pensar lo más que pueda mi respuesta ,Respirar y pensar lo más que pueda mi respuesta,11
4/23/2024 19:48:07,FM5YVNM2,Pienso que pasara si tomo esa decisión y que no si me da beneficios ,Pienso que pasara si tomo esa decisión y que no si me da beneficios,18
4/23/2024 19:48:07,TOKIQV38,"Primero analizar la situación, posteriormente analizar las posibles soluciones, descartar las que no aportan y de esa forma quedarme con la elección más prudente y concisa. ","Primero analizar la situación, posteriormente analizar las posibles soluciones, descartar las que no aportan y de esa forma quedarme con la elección más prudente y concisa.",41
