Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"Estrés, me siento agotado, me siento desanimado, me siento impaciente o estoy pensando mucho las cosas, con frecuencia trato de hablar con mi consciencia.","Estrés, me siento agotado, me siento desanimado, me siento impaciente o estoy pensando mucho las cosas, con frecuencia trato de hablar con mi consciencia.",43
4/23/2024 19:48:07,MKZUPRJI,A haces ataques de antiedad dolor de estómago o cabeza ,A haces ataques de antiedad dolor de estómago o cabeza,15
4/23/2024 19:48:07,UJCL56SG,"Sudor, dolor de espalda y hombros, sed, hiperactividad","Sudor, dolor de espalda y hombros, sed, hiperactividad",18
4/23/2024 19:48:07,B2KUCT4P,Fatiga y tristeza,Fatiga y tristeza,5
4/23/2024 19:48:07,GXLRPJ5F,"Nervios, angustia, estrés ","Nervios, angustia, estrés",10
4/23/2024 19:48:07,U1856WJ8,Cansancio mental y ansias,Cansancio mental y ansias,7
4/23/2024 19:48:07,ADDP44O9,No puedo quedarme quieto ,No puedo quedarme quieto,7
4/23/2024 19:48:07,EL85BQ8X,Sudo,Sudo,2
4/23/2024 19:48:07,9LGMBDLF,Dolor de cabeza,Dolor de cabeza,4
4/23/2024 19:48:07,TUW6M31C,"Escalofríos, me tiemblan las manos y las piernas, también se me acelera el corazón.","Escalofríos, me tiemblan las manos y las piernas, también se me acelera el corazón.",26
4/23/2024 19:48:07,XH7ERTSE,"Sudoracion excesiva, falta de aire, temblor en las manos.","Sudoracion excesiva, falta de aire, temblor en las manos.",18
4/23/2024 19:48:07,HNAK6DR5,Nerviosismo ,Nerviosismo,4
4/23/2024 19:48:07,IAADDB7O,"Escalofríos, agotamiento, taquicardia ","Escalofríos, agotamiento, taquicardia",14
4/23/2024 19:48:07,7FKG0LV6,"Cosquilleo en todo el cuerpo,dolor de ojos","Cosquilleo en todo el cuerpo,dolor de ojos",13
4/23/2024 19:48:07,HJB227EF,"vacio en el estomago, hormigueo en las manos, piernas debiles ","vacio en el estomago, hormigueo en las manos, piernas debiles",20
