Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"Cuando estoy dando clases, cuando puedo salir a divertirme con mis amigos, si veo a una persona que me gusta o me agrada su compañía, al escuchar la música que más me gusta, platicar con una persona que muestra interés por mi, si comparto tiempo con mi familia, estando acostado y me invade una paz y tranquilidad.","Cuando estoy dando clases, cuando puedo salir a divertirme con mis amigos, si veo a una persona que me gusta o me agrada su compañía, al escuchar la música que más me gusta, platicar con una persona que muestra interés por mi, si comparto tiempo con mi familia, estando acostado y me invade una paz y tranquilidad.",84
4/23/2024 19:48:07,MKZUPRJI,Cuando me sale algo bn en la escuela y trabajo ,Cuando me sale algo bien en la escuela y trabajo,10
4/23/2024 19:48:07,UJCL56SG,"En ver recuerdos, pensar escenarios imaginarios","En ver recuerdos, pensar escenarios imaginarios",12
4/23/2024 19:48:07,B2KUCT4P,"Cuando paso tiempo con mis amigos, como salir a comer o a lugares","Cuando paso tiempo con mis amigos, como salir a comer o a lugares",14
4/23/2024 19:48:07,GXLRPJ5F,"Cuando hago algo y recibo halagos sobre eso, cuando hago ejercicio, cuando escucho podcast de motivación, mejora personal, etc","Cuando hago algo y recibo halagos sobre eso, cuando hago ejercicio, cuando escucho podcast de motivación, mejora personal, etc",33
4/23/2024 19:48:07,U1856WJ8,Al estar con mi gata y estando con mis amistades,Al estar con mi gata y estando con mis amistades,12
4/23/2024 19:48:07,ADDP44O9,Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,16
4/23/2024 19:48:07,EL85BQ8X,Cuando veo a mis amigos ,Cuando veo a mis amigos,6
4/23/2024 19:48:07,9LGMBDLF,"Al estar con mi novio, salir al aire libre, pasar el rato con amigos","Al estar con mi novio, salir al aire libre, pasar el rato con amigos",18
4/23/2024 19:48:07,TUW6M31C,"Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio","Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio",26
4/23/2024 19:48:07,XH7ERTSE,"En las mañanas cuando tengo que tomar el transporte a la universisdad, en las tardes cuando comienza a  anochecer. Durante la cena y la madrugada cuando hago tareas.","En las mañanas cuando tengo que tomar el transporte a la universisdad, en las tardes cuando comienza a anochecer. Durante la cena y la madrugada cuando hago tareas.",41
4/23/2024 19:48:07,HNAK6DR5,Estando con mis amigos ,Estando con mis amigos,5
4/23/2024 19:48:07,IAADDB7O,"Al comer, después de ver a mi familia y después de terminar una actividad pendiente ","Al comer, después de ver a mi familia y después de terminar una actividad pendiente",18
4/23/2024 19:48:07,7FKG0LV6,Cuando salgo o convivo con personas de mi interés ,Cuando salgo o convivo con personas de mi interés,12
4/23/2024 19:48:07,HJB227EF,cuando estoy con mis amigos o mi novia,cuando estoy con mis amigos o mi novia,9
4/23/2024 19:48:07,GBDDJNH0,Cuando estoy acompañada de amigos que confío mucho y que me hagan sentir segura.,Cuando estoy acompañada de amigos que confío mucho y que me hagan sentir segura.,23
