Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"Cuando tengo trabajos pendientes que entregar, cuando pasa algo y tengo la duda me genera mucha incertidumbre, cuando una persona no habla conmigo y no me da sus razones, cuando se me juntan muchas actividades para el otro día.","Cuando tengo trabajos pendientes que entregar, cuando pasa algo y tengo la duda me genera mucha incertidumbre, cuando una persona no habla conmigo y no me da sus razones, cuando se me juntan muchas actividades para el otro día.",54
4/23/2024 19:48:07,MKZUPRJI,Cuando algo no me sale ,Cuando algo no me sale,5
4/23/2024 19:48:07,UJCL56SG,"En todo el tiempo, vivo ansioso","En todo el tiempo, vivo ansioso",8
4/23/2024 19:48:07,B2KUCT4P,"Cuando algo no me sale bien, y hasta que no me salga estare ahi con la preocupacion","Cuando algo no me sale bien, y hasta que no me salga estare ahi con la preocupacion",24
4/23/2024 19:48:07,GXLRPJ5F,Cuando no atiendo las tareas que debo hacer. O hago algo mal ,Cuando no atiendo las tareas que debo hacer. O hago algo mal,16
4/23/2024 19:48:07,U1856WJ8,"El tener que vivir un día más, sonará medio ridiculo pero tener que afrontar el mañana me está cansando","El tener que vivir un día más, sonará medio ridiculo pero tener que afrontar el mañana me está cansando",25
4/23/2024 19:48:07,ADDP44O9,Cuando algo no sale como lo tenía planeado o surgen imprevistos ,Cuando algo no sale como lo tenía planeado o surgen imprevistos,16
4/23/2024 19:48:07,EL85BQ8X,Cuando veo que tengo mucha  tarea,Cuando veo que tengo mucha tarea,8
4/23/2024 19:48:07,9LGMBDLF,Cuando dejan una nueva tarea o exámen ,Cuando dejan una nueva tarea o exámen,10
4/23/2024 19:48:07,TUW6M31C,"En clases, toda la mañana cuando siento que no puedo retener todo","En clases, toda la mañana cuando siento que no puedo retener todo",16
4/23/2024 19:48:07,XH7ERTSE,Al despertar y en transcurso del camino entre mi casa y la universidad.,Al despertar y en transcurso del camino entre mi casa y la universidad.,17
4/23/2024 19:48:07,HNAK6DR5,En las tardes- noches ,En las tardes- noches,7
4/23/2024 19:48:07,IAADDB7O,"Casi nunca, más allá del pensar acerca de que será mañana de mi ","Casi nunca, más allá del pensar acerca de que será mañana de mi",15
4/23/2024 19:48:07,7FKG0LV6,En el trabajo cuando las ventas están bajas ,En el trabajo cuando las ventas están bajas,8
4/23/2024 19:48:07,HJB227EF,cuando se acercan los finales de semestre,cuando se acercan los finales de semestre,8
4/23/2024 19:48:07,GBDDJNH0,Me preocupan los proyectos y exámenes que vaya a tener ese día.,Me preocupan los proyectos y exámenes que vaya a tener ese día.,18
4/23/2024 19:48:07,9ZRTSOTK,Al salir de un examen que no comprendí correctamente o de alguna acción que se pudo malinterpretar.,Al salir de un examen que no comprendí correctamente o de alguna acción que se pudo malinterpretar.,23
4/23/2024 19:48:07,0FQMQ0V1,"Cuando hago mis finanzas y puede que no complete los gastos del mes, cuando mi familia o amigos no se comunican que esta bien despues de salir","Cuando hago mis finanzas y puede que no complete los gastos del mes, cuando mi familia o amigos no se comunican que esta bien despues de salir",33
4/23/2024 19:48:07,60S1CVNZ,Con los pendientes de la universidad ,Con los pendientes de la universidad,8
4/23/2024 19:48:07,GKU8ECFL,Cuando pienso que estoy haciendo con mi vida o porque voy avanzando tan lento,Cuando pienso que estoy haciendo con mi vida o porque voy avanzando tan lento,20
4/23/2024 19:48:07,WED8UH5D,Cuando me doy cuenta de mis pendientes ,Cuando me doy cuenta de mis pendientes,10
4/23/2024 19:48:07,FM5YVNM2,"Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora ","Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora",23
4/23/2024 19:48:07,TOKIQV38,Cuando los tiempos estimados no son lo que se esperan.,Cuando los tiempos estimados no son lo que se esperan.,13
