Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 19:48:07,PFNKXS54,"Me siento estresado cuando me pongo a trabajar y siento que no avanzo, cuando se me va muy rápido el tiempo y no he logrado cubrir ciertas actividades que me programo, cuando no logro organizarme como quisiera, cuando siento que me quieren tomar el pelo o bien cuando abusan de mi nobleza.","Me siento estresado cuando me pongo a trabajar y siento que no avanzo, cuando se me va muy rápido el tiempo y no he logrado cubrir ciertas actividades que me programo, cuando no logro organizarme como quisiera, cuando siento que me quieren tomar el pelo o bien cuando abusan de mi nobleza.",74
4/23/2024 19:48:07,MKZUPRJI,Cuando no me salen las cosas ,Cuando no me salen las cosas,7
4/23/2024 19:48:07,UJCL56SG,"En casa, en proyectos donde no me ayudan, en temas de sociedad y las cosas que me condicionan ","En casa, en proyectos donde no me ayudan, en temas de sociedad y las cosas que me condicionan",23
4/23/2024 19:48:07,B2KUCT4P,En semanas de evaluaciones o para hacer tramites,En semanas de evaluaciones o para hacer tramites,11
4/23/2024 19:48:07,GXLRPJ5F,"Cuando algo no sale como lo planeo, cuando estudio mucho y no lo veo reflejado en mi nota, cuando me ponen a competir y pierdo. Cuando por cuestiones externas pasa algo que no puedo controlar. ","Cuando algo no sale como lo planeo, cuando estudio mucho y no lo veo reflejado en mi nota, cuando me ponen a competir y pierdo. Cuando por cuestiones externas pasa algo que no puedo controlar.",48
4/23/2024 19:48:07,U1856WJ8,"Con la universidad, con tanto trabajo que se me juntó ya empiezo a sentir presión ","Con la universidad, con tanto trabajo que se me juntó ya empiezo a sentir presión",19
4/23/2024 19:48:07,ADDP44O9,"Cuando salen múltiples imprevistos en un solo día, cuándo percances que no depende de mi me afectan directamente ","Cuando salen múltiples imprevistos en un solo día, cuándo percances que no depende de mi me afectan directamente",28
4/23/2024 19:48:07,EL85BQ8X,Cuando no me salen las cosas como quiero,Cuando no me salen las cosas como quiero,10
4/23/2024 19:48:07,9LGMBDLF,"Cuando no puedo tener el control, cuando ocurre algo que no planeó ","Cuando no puedo tener el control, cuando ocurre algo que no planeó",15
4/23/2024 19:48:07,TUW6M31C,Cuando me siento muy presionado o con mucho trabajo encima ,Cuando me siento muy presionado o con mucho trabajo encima,13
