Marca Temporal,ID único,"6. Si su escritor favorito le pidiera que le ayude a buscar el significado de la felicidad, ¿cuál sería la idea que usted escribiría?"
4/23/2024 19:48:07,PFNKXS54,"El estado en el que el ser humano se siente pleno, se siente tranquilo, se siente querido, un estado en el cual las personas se sienten alegres y comparten su vibra bonita combinada con amor."
4/23/2024 19:48:07,MKZUPRJI, Paz y alegría 
4/23/2024 19:48:07,UJCL56SG,"La felicidad la describiría acorde al conceto de libertad que tenga cada uno, ya que considero que la libertad es proporcional a la ignorancia de las causas que te condicionan, por lo que mi felicidad depende de que tanto sepa que me constituye."
4/23/2024 19:48:07,B2KUCT4P,Felicidad es cuando sientes una paz en ti 
4/23/2024 19:48:07,GXLRPJ5F,"La felicidad son las pequeñas cosas que hacemos día con día y nos ayudan a crecer, a mejorar y a sentirnos plenos con nosotros mismos. "
4/23/2024 19:48:07,U1856WJ8,La paz
4/23/2024 19:48:07,ADDP44O9,Estar en paz produce felicidad 
4/23/2024 19:48:07,EL85BQ8X,Vive la vida a tu manera
4/23/2024 19:48:07,9LGMBDLF,La sensación de tranquilidad y calidez en cada suspiro
4/23/2024 19:48:07,TUW6M31C,La felicidad es todo aquello qué te mantenga emocionado sin generar preocupación 
4/23/2024 19:48:07,XH7ERTSE,Hacer lo que te apasiona.
4/23/2024 19:48:07,HNAK6DR5,Paz
4/23/2024 19:48:07,IAADDB7O,"Más allá de lo básico de tener con que subsistir, vivir despreocupado y dentro de la medida divertirse en el camino sería la felicidad para mí, no es algo en específico o físico que puedas guardar, si no que en la vida hay momentos de felicidad y de tristeza, no puede ser siempre felicidad porque se volvería aburrido"
4/23/2024 19:48:07,7FKG0LV6,"Disfrutar cada día ,cada momento que haces ,no esperar o dejar pasar el tiempo "
4/23/2024 19:48:07,HJB227EF,estar en casa 
4/23/2024 19:48:07,GBDDJNH0,"Sentirse bien con uno mismo, tener amor propio."
4/23/2024 19:48:07,9ZRTSOTK,"La felicidad es la armonía entre aceptación, propósito y conexión. "
4/23/2024 19:48:07,0FQMQ0V1,Cuando sonries sin alguna razon aparente y todo lo malo se va 
4/23/2024 19:48:07,60S1CVNZ,Estar cómodo con lo que se ha logrado con tanto trabajo
4/23/2024 19:48:07,GKU8ECFL,Felicidad es el momento en el que estas bien contigo mismo fisica y mentalmente 
4/23/2024 19:48:07,WED8UH5D,Tranquilidad 
4/23/2024 19:48:07,FM5YVNM2,La felicidad es momentánea pero siempre puede estar presente si asi lo buscamos 
4/23/2024 19:48:07,TOKIQV38,"Felicidad es abstracto, pero para mí significa paz, alegría pura y diversión."
4/23/2024 19:48:16,QHVZR83J,"Es un momento en el cual sentimos que estamos en el lugar correcto y bien con nosotros mismos.
Por ejemplo cuando estamos con las personas que más amamos o cuando hacemos las actividades que más nos gustan."
4/23/2024 19:52:34,QXIEYINQ,Hacer las cosas que más te gustan y dejar de preocuparse por cosas insignificantes.
4/23/2024 20:03:37,KLWAYA6Z,"Que está en las cosas más simples, en todo lo que nos rodea y en los pequeños detalles "
4/23/2024 20:13:28,U57VENCU,"No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta"
4/23/2024 20:13:37,A2IERC7W,Buscar siempre la constante mejora de uno mismo
4/23/2024 20:18:00,9N5PTUUF,"En nuestra trayectoria creo sería encontrar amigos que hagan que los momentos de nuestra vida sean felices y disfrutar de esos momentos, pues no se trata de llegar a un lugar, sino, de disfrutar de nuestro camino."
4/23/2024 20:28:40,SXA26XSC,"La felicidad es un sentimiento creado a partir de situaciones que estimulan nuestro cerebro, desde mi punto de vista, la felicidad es el producto de eventos que resultan placenteros y despiertan interés en nosotros. Además la felicidad es subjetiva, un Niño pequeño puede ser feliz al recibir un dulce, mientras que alguien con más años de vida puede resultarle difícil encontrar la felicidad en cosas tan pequeñas como esa."
4/23/2024 20:30:08,XEDRH93Z,"La felicidad es un estado de paz interior y satisfacción con la vida en general. 
Se trata de disfrutar de los momentos simples y valorar lo que tenemos en lugar de enfocarnos en lo que nos falta."
4/23/2024 20:43:09,S8Y84CH8,"Supongo que es un sentimiento que nos hace sentir bien, más enérgicos, con euforia, amor, paz y a veces serenidad. "
4/23/2024 20:44:26,HG74CPSK,El arte y la música 
4/23/2024 21:02:39,L2RH302J,"Es algo bastante amplio que se simboliza en distintos eventos que puedo tener en mi vidad,desde  cosas complejas como superar retos dificiles o mas sencillas como terminar de lavar mi ropa."
4/23/2024 21:05:33,FN2PCHS1,Aquellas cosas que nos dan paz y nos hacen sentir seguros 
4/23/2024 21:10:29,GUS8V807,"Vivir bajo el significado del amor, desde uno mismo hacia todo factor con el que se relacione. Esto significa, actuar, relacionarse, trabajar y resolver problemas desde el amor, la paciencia y un nivel de conciencia que practica el estoicismo. "
4/23/2024 21:26:04,3GGBO8RK,Vive y deja vivir además de no sobre pensar las cosas.
